label,data
Andaman and Nicobar Islands,118
Andhra Pradesh,663060
Arunachal Pradesh,1483
Assam,17733
Bihar,311709
Chandigarh,1258
Chhattisgarh,113478
Delhi,25351
Goa,2734
Gujarat,284565
Haryana,83272
Himachal Pradesh,2350
Jammu and Kashmir,18215
Jharkhand,41312
Karnataka,324158
Kerala,158504
Ladakh,N/A
Lakshadweep,0
Madhya Pradesh,326980
Maharashtra,619647
Manipur,9401
Meghalaya,3220
Mizoram,14016
Nagaland,2601
Odisha,64631
Punjab,89172
Rajasthan,122435
Sikkim,428
Tamil Nadu,981158
Telangana,N/A
Tripura,9935
Uttar Pradesh,655706
Uttarakhand,21727
West Bengal,229143